record_id,user_handle,comment,sentiment_score
1,dave_5047,"The UI is clean.",0.91
2,dave_1664,"Why is the customer support so expensive?",0.96
3,mallory_8548,"I think the wallet connection could be more polished.",0.48
4,judy_7915,"Why is the API so okay?",0.16
5,eve_7995,"I think the documentation could be more polished.",0.41
6,trent_9295,"The customer support is terrible.",0.08
7,eve_8140,"I think the latency could be more polished.",0.59
8,charlie_6390,"The customer support is confusing.",0.01
9,walter_6812,"I think the fee structure could be more polished.",0.18
10,bob_3855,"Why is the mobile view so terrible?",0.1
11,heidi_2716,"I think the UI could be more polished.",0.31
12,alice_9165,"The storage is awesome.",0.82
13,oscar_9078,"I think the mobile view could be more polished.",0.66
14,dave_9559,"Why is the wallet connection so awesome?",0.83
15,mallory_313,"Why is the API so clean?",0.78
16,heidi_636,"I think the UI could be more polished.",0.09
17,charlie_9116,"I think the transaction speed could be more polished.",0.13
18,charlie_8954,"I think the documentation could be more polished.",0.88
19,dave_4172,"I think the mobile view could be more polished.",0.77
20,eve_8947,"Why is the transaction speed so slow?",0.24
21,frank_1641,"Why is the documentation so buggy?",0.01
22,grace_3674,"Why is the UI so clean?",0.89
23,grace_6660,"Why is the transaction speed so terrible?",0.19
24,alice_442,"I think the mobile view could be more polished.",0.23
25,judy_6793,"The data validation is intuitive.",0.72
26,judy_6590,"The documentation is confusing.",0.07
27,grace_7547,"The storage is awesome.",0.72
28,frank_8845,"Why is the fee structure so terrible?",0.11
29,sybil_5629,"I think the fee structure could be more polished.",0.51
30,sybil_2236,"The fee structure is slow.",0.22
31,charlie_2247,"Why is the data validation so fast?",0.73
32,trent_4830,"The transaction speed is clean.",0.9
33,ivan_9022,"I think the transaction speed could be more polished.",0.75
34,oscar_6822,"I think the storage could be more polished.",0.85
35,trent_2723,"The color scheme is confusing.",0.09
36,oscar_1469,"Why is the data validation so expensive?",0.06
37,alice_5549,"The wallet connection is messy.",0.02
38,mallory_5132,"I think the UI could be more polished.",0.98
39,heidi_6919,"Why is the documentation so secure?",0.12
40,ivan_2756,"Why is the latency so clean?",0.86
41,bob_5699,"The wallet connection is clean.",0.91
42,judy_1265,"Why is the documentation so great?",0.84
43,oscar_1736,"I think the API could be more polished.",0.7
44,oscar_9208,"I think the wallet connection could be more polished.",0.98
45,frank_828,"Why is the data validation so fast?",0.93
46,mallory_800,"Why is the documentation so messy?",0.06
47,walter_4558,"The wallet connection is confusing.",0.12
48,mallory_4557,"I think the fee structure could be more polished.",0.37
49,mallory_6212,"Why is the transaction speed so fast?",0.92
50,judy_1760,"Why is the fee structure so okay?",0.61
51,sybil_9653,"Why is the storage so confusing?",0.1
52,mallory_9747,"The storage is intuitive.",0.92
53,dave_5107,"I think the data validation could be more polished.",0.76
54,heidi_7983,"Why is the API so clean?",0.84
55,oscar_2755,"The data validation is buggy.",0.18
56,judy_1344,"The mobile view is intuitive.",0.93
57,eve_6862,"Why is the wallet connection so buggy?",0.27
58,alice_7792,"I think the data validation could be more polished.",0.54
59,grace_2500,"Why is the fee structure so slow?",0.06
60,judy_7207,"Why is the documentation so okay?",0.23
61,oscar_3107,"The storage is intuitive.",0.83
62,walter_3996,"I think the customer support could be more fast.",0.86
63,charlie_6110,"I think the latency could be more polished.",0.53
64,walter_2707,"Why is the wallet connection so expensive?",0.66
65,sybil_876,"Why is the customer support so awesome?",0.92
66,judy_2040,"I think the fee structure could be more polished.",0.95
67,dave_81,"I think the transaction speed could be more polished.",0.31
68,bob_6930,"Why is the wallet connection so messy?",0.26
69,oscar_9852,"The latency is intuitive.",0.88
70,sybil_101,"I think the wallet connection could be more polished.",0.28
71,heidi_1214,"I think the API could be more polished.",0.04
72,mallory_1543,"The API is confusing.",0.05
73,dave_3286,"I think the mobile view could be more polished.",0.43
74,grace_525,"The customer support is terrible.",0.1
75,peggy_7451,"The documentation is awesome.",0.71
76,grace_8759,"I think the fee structure could be more polished.",0.8
77,sybil_9314,"The latency is expensive.",0.33
78,grace_2033,"I think the color scheme could be more fast.",0.91
79,walter_4250,"Why is the customer support so buggy?",0.05
80,dave_1096,"I think the latency could be more polished.",0.41
81,walter_7079,"The storage is buggy.",0.05
82,heidi_5974,"Why is the transaction speed so confusing?",0.1
83,mallory_2323,"The latency is awesome.",0.73
84,dave_567,"Why is the transaction speed so fast?",0.83
85,mallory_7633,"I think the storage could be more polished.",0.45
86,dave_6070,"Why is the data validation so secure?",0.18
87,alice_9492,"I think the color scheme could be more polished.",0.9
88,ivan_4195,"I think the storage could be more polished.",0.26
89,trent_9059,"The latency is confusing.",0.1
90,oscar_4046,"Why is the storage so fast?",0.79
91,oscar_3110,"The UI is secure.",0.36
92,bob_4762,"I think the UI could be more polished.",0.19
93,ivan_7438,"The transaction speed is slow.",0.23
94,alice_8379,"I think the mobile view could be more polished.",0.69
95,heidi_6000,"The color scheme is buggy.",0.29
96,frank_9319,"I think the data validation could be more polished.",0.83
97,mallory_4415,"The API is okay.",0.93
98,heidi_9295,"I think the storage could be more polished.",0.88
99,judy_9146,"Why is the fee structure so slow?",0.06
100,ivan_9952,"The color scheme is great.",0.92
101,judy_7580,"I think the customer support could be more fast.",0.97
102,dave_7,"I think the latency could be more polished.",0.54
103,ivan_8866,"The documentation is fast.",0.89
104,ivan_2402,"The storage is messy.",0.18
105,bob_7820,"I think the transaction speed could be more polished.",0.38
106,oscar_319,"I think the UI could be more polished.",0.54
107,ivan_9066,"The data validation is fast.",0.86
108,bob_389,"The UI is cheap.",0.32
109,heidi_7049,"I think the customer support could be more polished.",0.35
110,oscar_2838,"I think the documentation could be more polished.",0.7
111,grace_5090,"The data validation is intuitive.",0.8
112,eve_9623,"The data validation is great.",0.78
113,alice_5722,"Why is the customer support so intuitive?",0.88
114,charlie_6533,"The color scheme is confusing.",0.02
115,dave_2168,"Why is the fee structure so intuitive?",0.92
116,trent_8531,"I think the storage could be more fast.",0.74
117,frank_445,"Why is the color scheme so terrible?",0.12
118,grace_3930,"Why is the customer support so expensive?",0.31
119,judy_6002,"Why is the API so messy?",0.24
120,peggy_6246,"Why is the wallet connection so confusing?",0.04
121,eve_6408,"Why is the mobile view so clean?",0.77
122,charlie_2760,"The customer support is awesome.",0.9
123,eve_3446,"Why is the wallet connection so intuitive?",0.81
124,walter_2977,"Why is the transaction speed so slow?",0.13
125,frank_5463,"I think the transaction speed could be more polished.",0.46
126,mallory_5966,"Why is the documentation so messy?",0.1
127,walter_6788,"The API is buggy.",0.22
128,peggy_4387,"Why is the mobile view so awesome?",0.93
129,ivan_6997,"I think the latency could be more polished.",0.26
130,sybil_7385,"I think the wallet connection could be more polished.",0.11
131,walter_5445,"I think the documentation could be more polished.",0.65
132,judy_4310,"Why is the color scheme so great?",0.88
133,mallory_7445,"I think the transaction speed could be more polished.",0.74
134,heidi_8959,"Why is the wallet connection so fast?",0.94
135,peggy_6977,"I think the fee structure could be more polished.",0.7
136,heidi_474,"I think the latency could be more polished.",0.19
137,frank_3060,"The storage is slow.",0.03
138,charlie_9153,"I think the UI could be more polished.",0.71
139,heidi_1275,"I think the latency could be more polished.",0.02
140,charlie_8347,"The wallet connection is expensive.",0.41
141,eve_7069,"The wallet connection is awesome.",0.88
142,dave_5700,"The mobile view is okay.",0.9
143,trent_5966,"The fee structure is intuitive.",0.87
144,trent_4925,"Why is the documentation so fast?",0.79
145,ivan_3582,"Why is the storage so messy?",0.14
146,heidi_1432,"I think the latency could be more polished.",0.03
147,heidi_8829,"The API is fast.",0.92
148,bob_6112,"I think the wallet connection could be more polished.",0.02
149,walter_2753,"Why is the transaction speed so okay?",0.58
150,eve_6829,"The customer support is slow.",0.19
151,peggy_9017,"I think the data validation could be more polished.",0.25
